ProductName,PrimaryCategory,SubCategory,Label,Combination,Price,Rank,ChemicalName,ChemicalCount,Dry,Normal,Oily,Sensitive,TotalChemicalScore
5 CAMOUFLAGE CREAM PALETTE,Makeup Products (non-permanent),Foundations and Bases,Cleanser,0,25.0,4.4,11,-0.31902113712309016,0,0,0,0,11
5 CAMOUFLAGE CREAM PALETTE,Makeup Products (non-permanent),Foundations and Bases,Moisturizer,0,30.0,4.2,11,-0.31902113712309016,0,0,0,0,11
"ABEILLE ROYALE - 1-MONTH YOUTH TREATMENT - ROYAL JELLY CONCENTRATE - FIRMING LIFT, WRINKLE CORRECTION, RADIANCE",Skin Care Products ,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
"ABEILLE ROYALE - 1-MONTH YOUTH TREATMENT - ROYAL JELLY CONCENTRATE - FIRMING LIFT, WRINKLE CORRECTION, RADIANCE",Skin Care Products ,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
"ABEILLE ROYALE - 1-MONTH YOUTH TREATMENT - ROYAL JELLY CONCENTRATE - FIRMING LIFT, WRINKLE CORRECTION, RADIANCE",Skin Care Products ,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
"ABEILLE ROYALE - 1-MONTH YOUTH TREATMENT - ROYAL JELLY CONCENTRATE - FIRMING LIFT, WRINKLE CORRECTION, RADIANCE",Skin Care Products ,Anti-Wrinkle/Anti-Aging Products (making a cosmetic claim),Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
"ABEILLE ROYALE - 1-MONTH YOUTH TREATMENT - ROYAL JELLY CONCENTRATE - FIRMING LIFT, WRINKLE CORRECTION, RADIANCE",Skin Care Products ,Facial Cream,Eye cream,0,230.0,5.0,1,-0.31902113712309016,0,0,0,0,1
"ABEILLE ROYALE - 1-MONTH YOUTH TREATMENT - ROYAL JELLY CONCENTRATE - FIRMING LIFT, WRINKLE CORRECTION, RADIANCE",Skin Care Products ,Facial Cream,Eye cream,1,200.0,3.0,1,-0.31902113712309016,0,0,0,0,1
"ABEILLE ROYALE - 1-MONTH YOUTH TREATMENT - ROYAL JELLY CONCENTRATE - FIRMING LIFT, WRINKLE CORRECTION, RADIANCE",Skin Care Products ,Facial Cream,Moisturizer,1,44.333333333333336,4.2,3,-0.31902113712309016,0,0,0,0,3
"ABEILLE ROYALE - 1-MONTH YOUTH TREATMENT - ROYAL JELLY CONCENTRATE - FIRMING LIFT, WRINKLE CORRECTION, RADIANCE",Skin Care Products ,Facial Cream,Treatment,0,150.0,3.6,1,-0.31902113712309016,0,0,0,0,1
